TenLaptop,GiaLaptop,inch,DoPhanGiai,LoaiManHinh,KhacMH,HangCPU,DongCPU,DoiCPU,DungLuongRAM,LoaiRAM,BusRAM,OCung,CardDoHoa,HDH,TrongLuong,XuatXu,NoiMua
Laptop HP Pavilion 14-dv2073TU i5 1235U,18.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS",Intel, i5, 1235U,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.41 kg,Trung Quốc,FPT
Laptop CHUWI GemiBook Pro Celeron N5100,5.990.000,14.0 inch, 2160 x 1440 Pixels, IPS, 60 Hz,Intel,ron, N5100,8 GB, LPDDR4X, 2133 MHz,SSD 256 GB,Intel UHD Graphics 600,Windows 10 Home,1.5 kg,ắt 2021,FPT
Laptop Acer Nitro Gaming AN515-45-R86D R7 5800H,22.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView LED-backlit",AMD,Ryzen 7, 5800H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; AMD Radeon Graphics,Windows 11 Home,2.2 kg,Trung Quốc,FPT
Laptop Lenovo IdeaPad 3 14IAU7 i3 1215U,10.490.000,14.0 inch, 1920 x 1080 Pixels, TN," 60 Hz, 250 nits, LED Backlit",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.63 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad 3 15IAU7 i5 1235U,13.490.000,15.6 inch, 1920 x 1080 Pixels, TN," Hãng không công bố, Anti-Glare LED-Backlit Display",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.63 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad Gaming 3 15ARH7 R5 6600H,16.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 120 Hz, 250 nits, IPS",AMD,Ryzen 5, 6600H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,2.315 kg,Trung Quốc,FPT
Laptop Lenovo IdeaPad 3 14IAU7 i3 1215U,10.490.000,14.0 inch, 1920 x 1080 Pixels, TN," 60 Hz, 250 nits, Anti-Glare LED-Backlit Display",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.43 kg,Trung Quốc,FPT
Laptop HP Pavilion 14-dv2076TU i5 1235U,16.690.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,,Windows 11 Home Single Language,1.41 kg,Trung Quốc,FPT
Laptop HP Gaming Victus 16-e1107AX R5 6600H,20.490.000,16.1 inch, 1920 x 1080 Pixels, IPS," 144 Hz, IPS",AMD,Ryzen 5, 6600H,8 GB , DDR5, 4800 MHz,SSD 512 GB,,Windows 11 Home Single Language,2.4 kg,Trung Quốc,FPT
Laptop Acer Aspire Gaming A715-42G-R05G R5 5500U,14.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView Anti-glare LED-backlit",AMD,Ryzen 5, 5500U,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB; AMD Radeon Graphics,Windows 11 Home Single Language,2.1 kg,Trung Quốc,FPT
